Player,Position,Team,Tier,My Max Bid,Expected Price,Value Flag,Notes
Saquon Barkley,RB,PHI,1,,,Bigsby handcuff on roster
Christian McCaffrey,RB,SF,1,,,Released stud - don't overpay
Bijan Robinson,RB,ATL,1,,,
Jahmyr Gibbs,RB,DET,1,,,
Ja'Marr Chase,WR,CIN,1,,,
Jonathan Taylor,RB,IND,2,,,Released stud
Derrick Henry,RB,BAL,2,,,Target - discounted stud tier
Josh Jacobs,RB,GB,2,,,Target - discounted stud tier
James Cook,RB,BUF,2,,,Released stud
Ashton Jeanty,RB,LV,2,,,Released stud
Malik Nabers,WR,NYG,2,,,Primary WR1 target - value buy
